iteracao;valor
1;910.270418
4;1087.665190
24;1101.682851
28;1106.262015
42;1111.017772
56;1163.158400
76;1165.757275
114;1171.232145
119;1177.262050
144;1181.206791
195;1185.830167
272;1208.588823
1260;1216.070260
2844;1226.053176
3320;1232.156042
