iteracao;valor
1;228.602591
2;231.286289
3;255.521343
4;296.064538
7;307.577095
9;326.246296
13;340.561587
20;341.592012
23;350.777473
41;360.774949
79;361.991861
87;385.622514
152;391.117979
307;417.044715
732;420.347471
2794;420.852969
4653;457.193062
