iteracao;valor
0;0.0
1;748.322191
2;763.736924
3;765.790247
7;778.832202
8;785.574493
10;791.363766
13;802.645019
19;809.497114
25;815.680333
26;819.685978
27;828.448711
49;829.868670
55;839.858377
71;841.910152
81;844.725441
82;844.725441
132;845.062284
150;845.062284
165;845.940054
178;846.809491
181;847.617318
182;847.617318
184;848.496227
202;849.304053
210;849.304053
211;851.756166
213;855.227061
241;855.980930
255;855.980930
338;855.980930
5000;855.980930
