iteracao;valor
0;0.0
1;463.175559
2;522.962476
7;535.950411
8;544.652040
9;666.062695
12;695.703498
35;726.361011
118;771.515242
896;772.939873
1309;784.582302
1326;796.433611
2582;807.225049
3756;807.344363
5000;807.344363
