932489546;../instances/p1.2.c.txt;1-5.095848,;5.095848;8429;
-437093839;../instances/p1.2.c.txt;1-5.095848,;5.095848;8451;
-2007306108;../instances/p1.2.c.txt;1-5.095848,;5.095848;8437;
-180483308;../instances/p1.2.c.txt;1-5.095848,;5.095848;8462;
-206503640;../instances/p1.2.c.txt;1-5.095848,;5.095848;8453;
-1957670662;../instances/p1.2.c.txt;1-5.095848,;5.095848;8512;
-1999448642;../instances/p1.2.c.txt;1-5.095848,;5.095848;8539;
2129968995;../instances/p1.2.c.txt;1-6.184722,6-7.371902,;7.371902;10402;
-950782757;../instances/p1.2.c.txt;;0.000000;8944;
-1948433673;../instances/p1.2.c.txt;;0.000000;8961;
-2101813466;../instances/p1.2.c.txt;;0.000000;9610;
1533581025;../instances/p1.2.c.txt;;0.000000;9587;
-1958946338;../instances/p1.2.c.txt;1-5.095848,;5.095848;9595;
2110717740;../instances/p1.2.c.txt;1-5.095848,;5.095848;9624;
564489712;../instances/p1.2.c.txt;1-6.184722,2-7.371902,;7.371902;11614;
-547758151;../instances/p1.2.c.txt;1-5.095848,2-7.371902,;7.371902;12048;
1869597039;../instances/p1.2.c.txt;1-5.095848,;5.095848;10732;
-770478148;../instances/p1.2.c.txt;1-5.095848,;5.095848;10800;
-1402863083;../instances/p1.2.c.txt;1-5.095848,;5.095848;10877;
-436248881;../instances/p1.2.c.txt;1-5.095848,;5.095848;10879;
1399392422;../instances/p1.2.c.txt;1-5.095848,;5.095848;10877;
2104813273;../instances/p1.2.c.txt;1-7.371902,;7.371902;13826;
240435335;../instances/p1.2.c.txt;1-6.184722,3-7.371902,;7.371902;13851;
-1973681597;../instances/p1.2.c.txt;1-5.095848,3-7.371902,;7.371902;14348;
172219678;../instances/p1.2.c.txt;1-5.095848,;5.095848;11958;
32207048;../instances/p1.2.c.txt;1-5.095848,;5.095848;12022;
1472091891;../instances/p1.2.c.txt;1-5.095848,;5.095848;11940;
