1924326178;./instances/p1.2.c.txt;4-7.371902,203-7.371902,702-7.371902,992-7.371902,7.371902;529;
-627034920;./instances/p1.2.c.txt;1-5.095848,3-7.371902,27-7.371902,290-7.371902,2024-7.371902,7.371902;525;
-30964196;./instances/p1.2.c.txt;2-5.095848,5-5.095848,7-7.371902,13-7.371902,39-7.371902,807-7.371902,1334-7.371902,1721-7.371902,4054-7.371902,7.371902;560;
2015125141;./instances/p1.2.c.txt;4-5.095848,11-5.095848,13-5.095848,16-6.357811,32-7.371902,89-7.371902,312-7.371902,1892-7.371902,7.371902;559;
972093842;./instances/p1.2.c.txt;1-5.095848,2-7.371902,7-7.371902,1040-7.371902,7.371902;571;
1322745867;./instances/p1.2.c.txt;1-5.095848,14-7.371902,83-7.371902,512-7.371902,2196-7.371902,2815-7.371902,7.371902;544;
-768809775;./instances/p1.2.c.txt;1-7.371902,78-7.371902,108-7.371902,261-7.371902,3685-7.371902,7.371902;557;
-1733075959;./instances/p1.2.c.txt;2-5.095848,4-7.371902,114-7.371902,1775-7.371902,4046-7.371902,7.371902;563;
-357831605;./instances/p1.2.c.txt;1-5.095848,2-5.095848,8-7.371902,42-7.371902,70-7.371902,7.371902;581;
-515482607;./instances/p1.2.c.txt;2-5.095848,5-5.095848,8-5.095848,11-7.371902,109-7.371902,220-7.371902,834-7.371902,4446-7.371902,4504-7.371902,4815-7.371902,7.371902;582;
40219335;./instances/p1.2.c.txt;1-6.184722,4-6.184722,26-7.371902,44-7.371902,185-7.371902,1058-7.371902,3963-7.371902,7.371902;558;
-1141512980;./instances/p1.2.c.txt;1-5.095848,13-7.371902,19-7.371902,254-7.371902,386-7.371902,438-7.371902,7.371902;575;
-2126761114;./instances/p1.2.c.txt;6-5.095848,9-5.095848,37-6.184722,50-6.184722,63-7.371902,154-7.371902,177-7.371902,236-7.371902,389-7.371902,1502-7.371902,7.371902;584;
265460059;./instances/p1.2.c.txt;3-5.095848,6-5.095848,11-7.371902,72-7.371902,7.371902;575;
1161612932;./instances/p1.2.c.txt;1-7.371902,3-7.371902,82-7.371902,527-7.371902,4455-7.371902,4815-7.371902,7.371902;579;
-1811762026;./instances/p1.2.c.txt;1-5.095848,2-5.095848,6-5.095848,7-7.371902,84-7.371902,1345-7.371902,4557-7.371902,7.371902;579;
-917102999;./instances/p1.2.c.txt;1-5.095848,4-5.095848,5-5.095848,16-7.371902,45-7.371902,1352-7.371902,1682-7.371902,7.371902;588;
-188041454;./instances/p1.2.c.txt;4-5.095848,8-7.371902,18-7.371902,46-7.371902,171-7.371902,1010-7.371902,7.371902;533;
209770687;./instances/p1.2.c.txt;2-5.095848,6-5.095848,15-7.371902,19-7.371902,28-7.371902,35-7.371902,37-7.371902,184-7.371902,7.371902;582;
-1742187020;./instances/p1.2.c.txt;5-5.095848,6-5.095848,8-5.095848,16-5.095848,36-6.184722,38-7.371902,1951-7.371902,2538-7.371902,7.371902;588;
960733655;./instances/p1.2.c.txt;1-5.095848,11-6.184722,63-6.184722,81-7.371902,92-7.371902,2641-7.371902,7.371902;574;
-468989827;./instances/p1.2.c.txt;2-5.095848,5-5.095848,41-6.184722,73-6.357811,98-7.371902,298-7.371902,336-7.371902,557-7.371902,1115-7.371902,7.371902;606;
1154750766;./instances/p1.2.c.txt;2-5.095848,6-5.095848,11-5.095848,12-6.184722,17-7.371902,161-7.371902,244-7.371902,951-7.371902,4207-7.371902,7.371902;593;
1822161831;./instances/p1.2.c.txt;1-5.095848,8-7.371902,110-7.371902,382-7.371902,384-7.371902,1377-7.371902,1431-7.371902,7.371902;593;
